filename	subfolder	en	am	artist
Berta-0001.png	BenishangulGumuz	house,hut,traditional,Ethiopia,Berta,Benishangul-Gumuz		Senait Worku
Berta-0002.png	BenishangulGumuz	procession,parade,planting,Ethiopia,Berta,Benishangul-Gumuz		Senait Worku
Berta-0003.png	BenishangulGumuz	people,sitting,Ethiopia,Berta,Benishangul-Gumuz		Senait Worku
Berta-0004.png	BenishangulGumuz	family,eating,meal,Ethiopia,Berta,BenishangulGumuz		Senait Worku
Berta-0005.png	BenishangulGumuz	water,spill,leak,Ethiopia,Berta,BenishangulGumuz		Senait Worku
Berta-0006.png	BenishangulGumuz	water,Ethiopia,Berta,BenishangulGumuz		Senait Worku
Berta-0007.png	BenishangulGumuz	water,fill,container,Ethiopia,Berta,BenishangulGumuz		Senait Worku
Berta-0008.png	BenishangulGumuz	sick,baby,woman,diarrhea,Ethiopia,Berta,BenishangulGumuz		Senait Worku
Berta-0009.png	BenishangulGumuz	water,fence,building,Ethiopia,Berta,BenishangulGumuz		Senait Worku
Berta-0010.png	BenishangulGumuz	water,spill,Ethiopia,Berta,BenishangulGumuz		Senait Worku
Berta-0011.png	BenishangulGumuz	doctor,hospital,Ethiopia,Berta,BenishangulGumuz		Senait Worku
Berta-0012.png	BenishangulGumuz	bank,deposit,Ethiopia,Berta,BenishangulGumuz		Senait Worku
Berta-0013.png	BenishangulGumuz	bank,deposit,Ethiopia,Berta,BenishangulGumuz		Senait Worku
Berta-0014.png	BenishangulGumuz	women,deposit,savings,Ethiopia,Berta,BenishangulGumuz		Senait Worku
Berta-0015.png	BenishangulGumuz	woman,child,crying,sick,Ethiopia,Berta,BenishangulGumuz		Senait Worku
Berta-0016.png	BenishangulGumuz	market,buying,selling,Ethiopia,Berta,BenishangulGumuz		Senait Worku
Berta-0017.png	BenishangulGumuz	women,food,bowls,Ethiopia,Berta,BenishangulGumuz		Senait Worku
Berta-0018.png	BenishangulGumuz	women,carrying,Ethiopia,Berta,BenishangulGumuz		Senait Worku
Berta-0019.png	BenishangulGumuz	women,market,buying,selling,vegetables,Ethiopia,Berta,BenishangulGumuz		Senait Worku
Berta-0020.png	BenishangulGumuz	girl,boy,eating,meal,Ethiopia,Berta,BenishangulGumuz		Senait Worku
Berta-0021.png	BenishangulGumuz	girl,boy,sick,stomach,Ethiopia,Berta,BenishangulGumuz		Senait Worku
